model,resolution,experiments_pass,experiments_total,selected
ACCESS-CM2,96x21,3,3,True
ACCESS-ESM1-5,96x21,3,3,True
AWI-CM-1-1-MR,96x21,3,3,True
BCC-CSM2-MR,96x21,3,3,True
CAMS-CSM1-0,96x21,3,3,True
CAS-ESM2-0,96x21,3,3,True
CESM2-WACCM,96x21,3,3,True
CMCC-CM2-SR5,96x21,3,3,True
CMCC-ESM2,96x21,3,3,True
CNRM-CM6-1,96x21,3,3,True
CNRM-CM6-1-HR,96x21,3,3,True
CNRM-ESM2-1,96x21,3,3,True
CanESM5,96x21,3,3,True
CanESM5-CanOE,96x21,3,3,True
FGOALS-f3-L,96x21,2,3,False
FGOALS-g3,96x21,3,3,True
FIO-ESM-2-0,96x21,3,3,True
GFDL-CM4,96x21,3,3,True
GFDL-ESM4,96x21,3,3,True
GISS-E2-1-G,96x21,3,3,True
GISS-E2-1-H,96x21,3,3,True
GISS-E2-2-G,96x21,3,3,True
HadGEM3-GC31-LL,96x21,3,3,True
IITM-ESM,96x21,3,3,True
INM-CM4-8,96x21,3,3,True
INM-CM5-0,96x21,3,3,True
IPSL-CM6A-LR,96x21,3,3,True
KIOST-ESM,96x21,3,3,True
MCM-UA-1-0,96x21,3,3,True
MIROC-ES2L,96x21,3,3,True
MIROC6,96x21,3,3,True
MPI-ESM1-2-HR,96x21,3,3,True
MPI-ESM1-2-LR,96x21,3,3,True
MRI-ESM2-0,96x21,3,3,True
NESM3,96x21,3,3,True
NorESM2-LM,96x21,3,3,True
NorESM2-MM,96x21,3,3,True
UKESM1-0-LL,96x21,3,3,True
